crop,eval_track,class_index,class_name,is_target_augmented_class,baseline_precision,adapted_precision,delta_precision,baseline_recall,adapted_recall,delta_recall,baseline_f1,adapted_f1,delta_f1
tomato,track_b,0,Tomato___Bacterial_spot,False,0.14285714285714285,0.1,-0.042857142857142844,0.03333333333333333,0.03333333333333333,0.0,0.05405405405405406,0.05,-0.004054054054054054
tomato,track_b,1,Tomato___Early_blight,False,0.12751677852348994,0.09090909090909091,-0.03660768761439903,0.6333333333333333,0.2,-0.4333333333333333,0.2122905027932961,0.125,-0.08729050279329609
tomato,track_b,2,Tomato___Late_blight,False,0.17647058823529413,0.38095238095238093,0.2044817927170868,0.5,0.26666666666666666,-0.23333333333333334,0.2608695652173913,0.3137254901960784,0.05285592497868713
tomato,track_b,3,Tomato___Leaf_Mold,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_b,4,Tomato___Septoria_leaf_spot,False,0.25,0.3157894736842105,0.06578947368421051,0.16666666666666666,0.2,0.033333333333333354,0.2,0.24489795918367346,0.04489795918367345
tomato,track_b,5,Tomato___Spider_mites Two-spotted_spider_mite,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_b,6,Tomato___Target_Spot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_b,7,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,0.1111111111111111,0.11235955056179775,0.0012484394506866447,0.03333333333333333,0.3333333333333333,0.3,0.05128205128205128,0.16806722689075632,0.11678517560870504
tomato,track_b,8,Tomato___Tomato_mosaic_virus,True,0.0,0.12,0.12,0.0,0.1,0.1,0.0,0.10909090909090909,0.10909090909090909
tomato,track_b,9,Tomato___healthy,True,0.0,0.17073170731707318,0.17073170731707318,0.0,0.23333333333333334,0.23333333333333334,0.0,0.19718309859154928,0.19718309859154928
tomato,track_c,0,Tomato___Bacterial_spot,False,0.125,0.1,-0.024999999999999994,0.1111111111111111,0.1111111111111111,0.0,0.11764705882352941,0.10526315789473684,-0.012383900928792574
tomato,track_c,1,Tomato___Early_blight,False,0.1919191919191919,0.23404255319148937,0.04212336127229746,0.6785714285714286,0.39285714285714285,-0.28571428571428575,0.2992125984251969,0.29333333333333333,-0.005879265091863539
tomato,track_c,2,Tomato___Late_blight,False,0.3125,0.5714285714285714,0.2589285714285714,0.6666666666666666,0.4,-0.2666666666666666,0.425531914893617,0.47058823529411764,0.045056320400500616
tomato,track_c,3,Tomato___Leaf_Mold,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_c,4,Tomato___Septoria_leaf_spot,False,0.5,0.4166666666666667,-0.08333333333333331,0.12903225806451613,0.16129032258064516,0.03225806451612903,0.20512820512820512,0.23255813953488372,0.027429934406678597
tomato,track_c,5,Tomato___Spider_mites Two-spotted_spider_mite,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_c,6,Tomato___Target_Spot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_c,7,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,0.2857142857142857,0.2641509433962264,-0.021563342318059286,0.07692307692307693,0.5384615384615384,0.4615384615384615,0.12121212121212122,0.35443037974683544,0.23321825853471423
tomato,track_c,8,Tomato___Tomato_mosaic_virus,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,track_c,9,Tomato___healthy,True,0.0,0.3103448275862069,0.3103448275862069,0.0,0.32142857142857145,0.32142857142857145,0.0,0.3157894736842105,0.3157894736842105
tomato,phase_18,0,Tomato___Bacterial_spot,False,0.13333333333333333,0.1,-0.033333333333333326,0.05128205128205128,0.05128205128205128,0.0,0.07407407407407407,0.06779661016949153,-0.006277463904582545
tomato,phase_18,1,Tomato___Early_blight,False,0.1532258064516129,0.1504424778761062,-0.0027833285755066994,0.6551724137931034,0.29310344827586204,-0.3620689655172414,0.24836601307189543,0.19883040935672514,-0.049535603715170295
tomato,phase_18,2,Tomato___Late_blight,False,0.2348993288590604,0.47619047619047616,0.24129114733141577,0.5833333333333334,0.3333333333333333,-0.25000000000000006,0.3349282296650718,0.39215686274509803,0.05722863308002624
tomato,phase_18,3,Tomato___Leaf_Mold,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,phase_18,4,Tomato___Septoria_leaf_spot,False,0.32142857142857145,0.3548387096774194,0.03341013824884792,0.14754098360655737,0.18032786885245902,0.03278688524590165,0.20224719101123595,0.2391304347826087,0.03688324377137275
tomato,phase_18,5,Tomato___Spider_mites Two-spotted_spider_mite,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,phase_18,6,Tomato___Target_Spot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,phase_18,7,Tomato___Tomato_Yellow_Leaf_Curl_Virus,True,0.1875,0.16901408450704225,-0.01848591549295775,0.05357142857142857,0.42857142857142855,0.375,0.08333333333333333,0.24242424242424243,0.15909090909090912
tomato,phase_18,8,Tomato___Tomato_mosaic_virus,True,0.0,0.08108108108108109,0.08108108108108109,0.0,0.075,0.075,0.0,0.07792207792207792,0.07792207792207792
tomato,phase_18,9,Tomato___healthy,True,0.0,0.22857142857142856,0.22857142857142856,0.0,0.27586206896551724,0.27586206896551724,0.0,0.25,0.25
grape,internal_test,0,Bacterial Leaf Spot,False,1.0,0.9166666666666666,-0.08333333333333337,0.8666666666666667,0.7333333333333333,-0.13333333333333341,0.9285714285714286,0.8148148148148148,-0.11375661375661383
grape,internal_test,1,Black Rot,False,0.8642857142857143,0.8581560283687943,-0.00612968591691998,1.0,1.0,0.0,0.9272030651340997,0.9236641221374046,-0.0035389429966951047
grape,internal_test,2,Downy Mildew,True,0.9523809523809523,0.9266666666666666,-0.02571428571428569,0.9655172413793104,0.9586206896551724,-0.006896551724137945,0.958904109589041,0.9423728813559322,-0.01653122823310882
grape,internal_test,3,Esca (Black Measles),True,0.7407407407407407,0.7194244604316546,-0.021316280309086055,0.746268656716418,0.746268656716418,0.0,0.7434944237918215,0.7326007326007326,-0.010893691191088961
grape,internal_test,4,Healthy Leaves,True,0.9692737430167597,0.961218836565097,-0.008054906451662736,0.980225988700565,0.980225988700565,0.0,0.9747191011235955,0.9706293706293706,-0.004089730494224897
grape,internal_test,5,Leaf Blight,False,0.6666666666666666,0.6571428571428571,-0.00952380952380949,0.5346534653465347,0.45544554455445546,-0.07920792079207922,0.5934065934065934,0.5380116959064327,-0.05539489750016069
grape,internal_test,6,Powdery Mildew,True,0.9473684210526315,0.9310344827586207,-0.016333938294010864,0.8852459016393442,0.8852459016393442,0.0,0.9152542372881356,0.907563025210084,-0.007691212078051568
grape,track_b,0,Bacterial Leaf Spot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,track_b,1,Black Rot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,track_b,2,Downy Mildew,True,0.2222222222222222,0.15517241379310345,-0.06704980842911876,0.06666666666666667,0.3,0.23333333333333334,0.10256410256410256,0.20454545454545456,0.101981351981352
grape,track_b,3,Esca (Black Measles),True,0.09090909090909091,0.0,-0.09090909090909091,0.03333333333333333,0.0,-0.03333333333333333,0.04878048780487805,0.0,-0.04878048780487805
grape,track_b,4,Healthy Leaves,True,0.23333333333333334,0.4090909090909091,0.17575757575757578,0.7,0.6,-0.09999999999999998,0.35,0.4864864864864865,0.13648648648648654
grape,track_b,5,Leaf Blight,False,0.2,0.0,-0.2,0.03333333333333333,0.0,-0.03333333333333333,0.05714285714285714,0.0,-0.05714285714285714
grape,track_b,6,Powdery Mildew,True,0.0,0.029411764705882353,0.029411764705882353,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03125,0.03125
grape,track_c,0,Bacterial Leaf Spot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,track_c,1,Black Rot,False,0.25,0.14285714285714285,-0.10714285714285715,0.07142857142857142,0.03571428571428571,-0.03571428571428571,0.1111111111111111,0.05714285714285714,-0.053968253968253964
grape,track_c,2,Downy Mildew,True,0.0,0.11428571428571428,0.11428571428571428,0.0,0.2,0.2,0.0,0.14545454545454545,0.14545454545454545
grape,track_c,3,Esca (Black Measles),True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,track_c,4,Healthy Leaves,True,0.11764705882352941,0.2222222222222222,0.1045751633986928,0.3333333333333333,0.3333333333333333,0.0,0.17391304347826086,0.26666666666666666,0.0927536231884058
grape,track_c,5,Leaf Blight,False,0.25,0.0,-0.25,0.05,0.0,-0.05,0.08333333333333333,0.0,-0.08333333333333333
grape,track_c,6,Powdery Mildew,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,phase_18,0,Bacterial Leaf Spot,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,phase_18,1,Black Rot,False,0.08695652173913043,0.05263157894736842,-0.034324942791762014,0.034482758620689655,0.017241379310344827,-0.017241379310344827,0.04938271604938271,0.025974025974025976,-0.023408690075356738
grape,phase_18,2,Downy Mildew,True,0.2,0.13978494623655913,-0.060215053763440884,0.04,0.26,0.22,0.06666666666666667,0.18181818181818182,0.11515151515151516
grape,phase_18,3,Esca (Black Measles),True,0.05,0.0,-0.05,0.02,0.0,-0.02,0.02857142857142857,0.0,-0.02857142857142857
grape,phase_18,4,Healthy Leaves,True,0.20161290322580644,0.3548387096774194,0.15322580645161293,0.5952380952380952,0.5238095238095238,-0.0714285714285714,0.30120481927710846,0.4230769230769231,0.12187210379981461
grape,phase_18,5,Leaf Blight,False,0.2222222222222222,0.0,-0.2222222222222222,0.04,0.0,-0.04,0.06779661016949153,0.0,-0.06779661016949153
grape,phase_18,6,Powdery Mildew,True,0.0,0.01694915254237288,0.01694915254237288,0.0,0.03333333333333333,0.03333333333333333,0.0,0.02247191011235955,0.02247191011235955
