threshold,n_total,accepted_count,rejected_count,coverage_rate,rejection_rate,accepted_accuracy,model_name,crop,subset_name,is_calibrated
0.6,60,37,23,0.6166666666666667,0.38333333333333336,0.40540540540540543,Sugarcane,Sugarcane,track_b_external,True
0.65,60,31,29,0.5166666666666667,0.48333333333333334,0.45161290322580644,Sugarcane,Sugarcane,track_b_external,True
0.7,60,28,32,0.4666666666666667,0.5333333333333333,0.5,Sugarcane,Sugarcane,track_b_external,True
0.75,60,21,39,0.35,0.65,0.5714285714285714,Sugarcane,Sugarcane,track_b_external,True
0.8,60,18,42,0.3,0.7,0.5555555555555556,Sugarcane,Sugarcane,track_b_external,True
0.85,60,14,46,0.23333333333333334,0.7666666666666667,0.6428571428571429,Sugarcane,Sugarcane,track_b_external,True
0.9,60,12,48,0.2,0.8,0.6666666666666666,Sugarcane,Sugarcane,track_b_external,True
0.95,60,9,51,0.15,0.85,0.6666666666666666,Sugarcane,Sugarcane,track_b_external,True
0.5,40,31,9,0.775,0.225,0.2903225806451613,Sugarcane,Sugarcane,track_c_realworld,False
0.55,40,30,10,0.75,0.25,0.3,Sugarcane,Sugarcane,track_c_realworld,False
0.6,40,27,13,0.675,0.325,0.2962962962962963,Sugarcane,Sugarcane,track_c_realworld,False
0.65,40,24,16,0.6,0.4,0.2916666666666667,Sugarcane,Sugarcane,track_c_realworld,False
0.7,40,22,18,0.55,0.45,0.3181818181818182,Sugarcane,Sugarcane,track_c_realworld,False
0.75,40,21,19,0.525,0.475,0.3333333333333333,Sugarcane,Sugarcane,track_c_realworld,False
0.8,40,17,23,0.425,0.575,0.4117647058823529,Sugarcane,Sugarcane,track_c_realworld,False
0.85,40,13,27,0.325,0.675,0.38461538461538464,Sugarcane,Sugarcane,track_c_realworld,False
0.9,40,12,28,0.3,0.7,0.3333333333333333,Sugarcane,Sugarcane,track_c_realworld,False
0.95,40,7,33,0.175,0.825,0.42857142857142855,Sugarcane,Sugarcane,track_c_realworld,False
0.5,40,31,9,0.775,0.225,0.2903225806451613,Sugarcane,Sugarcane,track_c_realworld,True
0.55,40,31,9,0.775,0.225,0.2903225806451613,Sugarcane,Sugarcane,track_c_realworld,True
0.6,40,28,12,0.7,0.3,0.32142857142857145,Sugarcane,Sugarcane,track_c_realworld,True
0.65,40,24,16,0.6,0.4,0.2916666666666667,Sugarcane,Sugarcane,track_c_realworld,True
0.7,40,22,18,0.55,0.45,0.3181818181818182,Sugarcane,Sugarcane,track_c_realworld,True
0.75,40,21,19,0.525,0.475,0.3333333333333333,Sugarcane,Sugarcane,track_c_realworld,True
0.8,40,17,23,0.425,0.575,0.4117647058823529,Sugarcane,Sugarcane,track_c_realworld,True
0.85,40,13,27,0.325,0.675,0.38461538461538464,Sugarcane,Sugarcane,track_c_realworld,True
0.9,40,13,27,0.325,0.675,0.38461538461538464,Sugarcane,Sugarcane,track_c_realworld,True
0.95,40,9,31,0.225,0.775,0.3333333333333333,Sugarcane,Sugarcane,track_c_realworld,True
0.5,75,67,8,0.8933333333333333,0.10666666666666667,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.55,75,65,10,0.8666666666666667,0.13333333333333333,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.6,75,60,15,0.8,0.2,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.65,75,52,23,0.6933333333333334,0.30666666666666664,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.7,75,45,30,0.6,0.4,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.75,75,37,38,0.49333333333333335,0.5066666666666667,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.8,75,34,41,0.4533333333333333,0.5466666666666666,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.85,75,29,46,0.38666666666666666,0.6133333333333333,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.9,75,21,54,0.28,0.72,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.95,75,14,61,0.18666666666666668,0.8133333333333334,,Sugarcane,Sugarcane,track_d_cross_crop,False
0.5,75,67,8,0.8933333333333333,0.10666666666666667,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.55,75,65,10,0.8666666666666667,0.13333333333333333,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.6,75,61,14,0.8133333333333334,0.18666666666666668,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.65,75,55,20,0.7333333333333333,0.26666666666666666,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.7,75,46,29,0.6133333333333333,0.38666666666666666,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.75,75,40,35,0.5333333333333333,0.4666666666666667,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.8,75,35,40,0.4666666666666667,0.5333333333333333,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.85,75,31,44,0.41333333333333333,0.5866666666666667,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.9,75,23,52,0.30666666666666664,0.6933333333333334,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.95,75,14,61,0.18666666666666668,0.8133333333333334,,Sugarcane,Sugarcane,track_d_cross_crop,True
0.5,20,15,5,0.75,0.25,,Sugarcane,Sugarcane,track_d_unrelated,False
0.55,20,14,6,0.7,0.3,,Sugarcane,Sugarcane,track_d_unrelated,False
0.6,20,13,7,0.65,0.35,,Sugarcane,Sugarcane,track_d_unrelated,False
0.65,20,12,8,0.6,0.4,,Sugarcane,Sugarcane,track_d_unrelated,False
0.7,20,9,11,0.45,0.55,,Sugarcane,Sugarcane,track_d_unrelated,False
0.75,20,8,12,0.4,0.6,,Sugarcane,Sugarcane,track_d_unrelated,False
0.8,20,7,13,0.35,0.65,,Sugarcane,Sugarcane,track_d_unrelated,False
0.85,20,6,14,0.3,0.7,,Sugarcane,Sugarcane,track_d_unrelated,False
0.9,20,6,14,0.3,0.7,,Sugarcane,Sugarcane,track_d_unrelated,False
0.95,20,6,14,0.3,0.7,,Sugarcane,Sugarcane,track_d_unrelated,False
0.5,20,16,4,0.8,0.2,,Sugarcane,Sugarcane,track_d_unrelated,True
0.55,20,15,5,0.75,0.25,,Sugarcane,Sugarcane,track_d_unrelated,True
0.6,20,14,6,0.7,0.3,,Sugarcane,Sugarcane,track_d_unrelated,True
0.65,20,13,7,0.65,0.35,,Sugarcane,Sugarcane,track_d_unrelated,True
0.7,20,10,10,0.5,0.5,,Sugarcane,Sugarcane,track_d_unrelated,True
0.75,20,8,12,0.4,0.6,,Sugarcane,Sugarcane,track_d_unrelated,True
0.8,20,7,13,0.35,0.65,,Sugarcane,Sugarcane,track_d_unrelated,True
0.85,20,6,14,0.3,0.7,,Sugarcane,Sugarcane,track_d_unrelated,True
0.9,20,6,14,0.3,0.7,,Sugarcane,Sugarcane,track_d_unrelated,True
0.95,20,6,14,0.3,0.7,,Sugarcane,Sugarcane,track_d_unrelated,True
0.5,290,256,34,0.8827586206896552,0.11724137931034483,0.7265625,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.55,290,242,48,0.8344827586206897,0.16551724137931034,0.743801652892562,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.6,290,233,57,0.803448275862069,0.19655172413793104,0.7510729613733905,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.65,290,214,76,0.7379310344827587,0.2620689655172414,0.7757009345794392,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.7,290,197,93,0.6793103448275862,0.32068965517241377,0.8121827411167513,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.75,290,185,105,0.6379310344827587,0.3620689655172414,0.8216216216216217,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.8,290,178,112,0.6137931034482759,0.38620689655172413,0.8258426966292135,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.85,290,157,133,0.5413793103448276,0.4586206896551724,0.8598726114649682,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.9,290,133,157,0.4586206896551724,0.5413793103448276,0.8872180451127819,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.95,290,110,180,0.3793103448275862,0.6206896551724138,0.9,Chilli (Candidate D - Supplementary),Chilli,internal_test,False
0.5,290,230,60,0.7931034482758621,0.20689655172413793,0.7608695652173914,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.55,290,211,79,0.7275862068965517,0.27241379310344827,0.7725118483412322,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.6,290,191,99,0.6586206896551724,0.3413793103448276,0.8115183246073299,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.65,290,177,113,0.6103448275862069,0.3896551724137931,0.8248587570621468,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.7,290,161,129,0.5551724137931034,0.44482758620689655,0.84472049689441,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.75,290,143,147,0.49310344827586206,0.506896551724138,0.8741258741258742,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.8,290,118,172,0.4068965517241379,0.593103448275862,0.8898305084745762,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.85,290,102,188,0.35172413793103446,0.6482758620689655,0.9215686274509803,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.9,290,72,218,0.2482758620689655,0.7517241379310344,0.9166666666666666,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.95,290,48,242,0.16551724137931034,0.8344827586206897,0.9375,Chilli (Candidate D - Supplementary),Chilli,internal_test,True
0.5,144,124,20,0.8611111111111112,0.1388888888888889,0.6290322580645161,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.55,144,117,27,0.8125,0.1875,0.6410256410256411,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.6,144,113,31,0.7847222222222222,0.2152777777777778,0.6548672566371682,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.65,144,103,41,0.7152777777777778,0.2847222222222222,0.6893203883495146,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.7,144,94,50,0.6527777777777778,0.3472222222222222,0.723404255319149,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.75,144,90,54,0.625,0.375,0.7333333333333333,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.8,144,86,58,0.5972222222222222,0.4027777777777778,0.7325581395348837,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.85,144,75,69,0.5208333333333334,0.4791666666666667,0.7733333333333333,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.9,144,61,83,0.4236111111111111,0.5763888888888888,0.819672131147541,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.95,144,53,91,0.3680555555555556,0.6319444444444444,0.8301886792452831,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,False
0.5,144,109,35,0.7569444444444444,0.24305555555555555,0.6605504587155964,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.55,144,101,43,0.7013888888888888,0.2986111111111111,0.6831683168316832,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.6,144,90,54,0.625,0.375,0.7222222222222222,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.65,144,85,59,0.5902777777777778,0.4097222222222222,0.7411764705882353,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.7,144,77,67,0.5347222222222222,0.4652777777777778,0.7532467532467533,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.75,144,66,78,0.4583333333333333,0.5416666666666666,0.7878787878787878,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.8,144,57,87,0.3958333333333333,0.6041666666666666,0.8070175438596491,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.85,144,47,97,0.3263888888888889,0.6736111111111112,0.8723404255319149,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.9,144,37,107,0.2569444444444444,0.7430555555555556,0.8918918918918919,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.95,144,23,121,0.1597222222222222,0.8402777777777778,0.9130434782608695,Chilli (Candidate D - Supplementary),Chilli,track_a_internal,True
0.5,120,118,2,0.9833333333333333,0.016666666666666666,0.9322033898305084,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.55,120,113,7,0.9416666666666667,0.058333333333333334,0.9557522123893806,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.6,120,110,10,0.9166666666666666,0.08333333333333333,0.9545454545454546,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.65,120,107,13,0.8916666666666667,0.10833333333333334,0.9532710280373832,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.7,120,104,16,0.8666666666666667,0.13333333333333333,0.9711538461538461,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.75,120,100,20,0.8333333333333334,0.16666666666666666,0.99,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.8,120,95,25,0.7916666666666666,0.20833333333333334,0.9894736842105263,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.85,120,94,26,0.7833333333333333,0.21666666666666667,0.9893617021276596,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.9,120,90,30,0.75,0.25,0.9888888888888889,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.95,120,81,39,0.675,0.325,0.9876543209876543,Chilli (Candidate D - Supplementary),Chilli,track_b_external,False
0.5,120,112,8,0.9333333333333333,0.06666666666666667,0.9553571428571429,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.55,120,108,12,0.9,0.1,0.9629629629629629,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.6,120,101,19,0.8416666666666667,0.15833333333333333,0.9900990099009901,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.65,120,97,23,0.8083333333333333,0.19166666666666668,0.9896907216494846,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.7,120,94,26,0.7833333333333333,0.21666666666666667,0.9893617021276596,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.75,120,91,29,0.7583333333333333,0.24166666666666667,0.989010989010989,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.8,120,84,36,0.7,0.3,0.9880952380952381,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.85,120,81,39,0.675,0.325,0.9876543209876543,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.9,120,78,42,0.65,0.35,1.0,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.95,120,67,53,0.5583333333333333,0.44166666666666665,1.0,Chilli (Candidate D - Supplementary),Chilli,track_b_external,True
0.5,97,94,3,0.9690721649484536,0.030927835051546393,0.8404255319148937,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.55,97,92,5,0.9484536082474226,0.05154639175257732,0.8478260869565217,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.6,97,90,7,0.9278350515463918,0.07216494845360824,0.8555555555555555,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.65,97,89,8,0.9175257731958762,0.08247422680412371,0.8651685393258427,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.7,97,83,14,0.8556701030927835,0.14432989690721648,0.891566265060241,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.75,97,79,18,0.8144329896907216,0.18556701030927836,0.9113924050632911,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.8,97,75,22,0.7731958762886598,0.2268041237113402,0.9333333333333333,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.85,97,74,23,0.7628865979381443,0.23711340206185566,0.9324324324324325,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.9,97,72,25,0.7422680412371134,0.25773195876288657,0.9444444444444444,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.95,97,67,30,0.6907216494845361,0.30927835051546393,0.9552238805970149,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,False
0.5,97,92,5,0.9484536082474226,0.05154639175257732,0.8478260869565217,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.55,97,86,11,0.8865979381443299,0.1134020618556701,0.872093023255814,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.6,97,81,16,0.8350515463917526,0.16494845360824742,0.8888888888888888,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.65,97,77,20,0.7938144329896907,0.20618556701030927,0.922077922077922,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.7,97,75,22,0.7731958762886598,0.2268041237113402,0.9333333333333333,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.75,97,72,25,0.7422680412371134,0.25773195876288657,0.9444444444444444,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.8,97,68,29,0.7010309278350515,0.29896907216494845,0.9558823529411765,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.85,97,66,31,0.6804123711340206,0.31958762886597936,0.9545454545454546,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.9,97,59,38,0.6082474226804123,0.3917525773195876,0.9661016949152542,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
0.95,97,48,49,0.4948453608247423,0.5051546391752577,0.9791666666666666,Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,True
