model_name,crop,subset_name,sample_count,temperature,is_calibrated,nll,brier_score,ece_10bin,mean_confidence,accuracy
Grape,Grape,track_b_external,180,1.0,False,5.478701591491699,1.422676920890808,0.642963123631974,0.7818519473075867,0.1388888888888889
Grape,Grape,track_b_external,180,1.1481942217606924,True,4.852421760559082,1.3795737028121948,0.6179144931336245,0.7507246136665344,0.1388888888888889
Grape,Grape,track_c_realworld,100,1.0,False,5.980964183807373,1.506019949913025,0.6881032544374466,0.7581032514572144,0.07
Grape,Grape,track_c_realworld,100,1.1481942217606924,True,5.297494888305664,1.4573506116867065,0.6551985150203108,0.7251985669136047,0.07
Grape,Grape,track_d_cross_crop,75,1.0,False,,,,0.7270923256874084,
Grape,Grape,track_d_cross_crop,75,1.1481942217606924,True,,,,0.6951250433921814,
Grape,Grape,track_d_unrelated,20,1.0,False,,,,0.8410683870315552,
Grape,Grape,track_d_unrelated,20,1.1481942217606924,True,,,,0.8170002698898315,
Chilli,Chilli,validation,290,1.0,False,0.9410802125930786,0.48720449209213257,0.06022952075662284,0.6934103965759277,0.6517241379310345
Chilli,Chilli,validation,290,1.2629897936445373,True,0.9221141934394836,0.48331981897354126,0.02790325921157311,0.6343675255775452,0.6517241379310345
Chilli,Chilli,internal_test,290,1.0,False,0.9398157596588135,0.4857347011566162,0.08011924829976312,0.6867637038230896,0.6379310344827587
Chilli,Chilli,internal_test,290,1.2629897936445373,True,0.9248228073120117,0.4823160171508789,0.06758904066579095,0.6268900036811829,0.6379310344827587
Chilli,Chilli,track_a_internal,144,1.0,False,1.2067532539367676,0.6113716959953308,0.1552240217311515,0.6622670292854309,0.5347222222222222
Chilli,Chilli,track_a_internal,144,1.2629897936445373,True,1.1447114944458008,0.5930233001708984,0.08695384590990013,0.6039001941680908,0.5347222222222222
Chilli,Chilli,track_b_external,120,1.0,False,1.5019004344940186,0.6882386803627014,0.17516742795705798,0.6323447823524475,0.475
Chilli,Chilli,track_b_external,120,1.2629897936445373,True,1.3866164684295654,0.6670864224433899,0.109622884914279,0.5740162134170532,0.475
Chilli,Chilli,track_c_realworld,97,1.0,False,1.2051053047180176,0.5514079928398132,0.09228192223716028,0.6577925086021423,0.5979381443298969
Chilli,Chilli,track_c_realworld,97,1.2629897936445373,True,1.1512887477874756,0.5519267320632935,0.09767967063127106,0.5925425291061401,0.5979381443298969
Chilli,Chilli,track_d_cross_crop,75,1.0,False,,,,0.6962159276008606,
Chilli,Chilli,track_d_cross_crop,75,1.2629897936445373,True,,,,0.6348627805709839,
Chilli,Chilli,track_d_unrelated,20,1.0,False,,,,0.760607898235321,
Chilli,Chilli,track_d_unrelated,20,1.2629897936445373,True,,,,0.7011958360671997,
Sugarcane,Sugarcane,validation,1339,1.0,False,0.4332639276981354,0.2243206799030304,0.026415616251622854,0.835189938545227,0.8513816280806572
Sugarcane,Sugarcane,validation,1339,0.9605418538296602,True,0.4328339397907257,0.22396588325500488,0.022755821508823534,0.8422276973724365,0.8513816280806572
Sugarcane,Sugarcane,internal_test,1340,1.0,False,0.4469817578792572,0.23564131557941437,0.017008326058067496,0.8405429124832153,0.8343283582089552
Sugarcane,Sugarcane,internal_test,1340,0.9605418538296602,True,0.4476415812969208,0.2360149323940277,0.0158576652852457,0.847363293170929,0.8343283582089552
Sugarcane,Sugarcane,track_a_internal,450,1.0,False,0.565467894077301,0.29994550347328186,0.05794174399640825,0.8272007703781128,0.7955555555555556
Sugarcane,Sugarcane,track_a_internal,450,0.9605418538296602,True,0.570165753364563,0.3013917803764343,0.06990848925378587,0.8340438604354858,0.7955555555555556
Sugarcane,Sugarcane,track_b_external,60,1.0,False,2.0993502140045166,0.8747431635856628,0.3223583362996578,0.6508453488349915,0.3333333333333333
Sugarcane,Sugarcane,track_b_external,60,0.9605418538296602,True,2.1478521823883057,0.8845263123512268,0.3310995825876792,0.6614750027656555,0.3333333333333333
Sugarcane,Sugarcane,track_c_realworld,40,1.0,False,2.5564208030700684,1.0604387521743774,0.43553549572825434,0.7105355262756348,0.275
