evaluation_track,crop,true_label,predicted_label,count,mean_confidence,max_confidence,example_file
TRACK_D_CROSS_CROP,Grape,Cross-Crop: Tomato,Healthy Leaves,9,0.8766321606106229,0.9843658208847046,D:\CropDiseaseProject\tomato_plantvillage\Tomato___healthy\651c7556-f25e-46b9-97db-4793a2a3b642___RS_HL 0219.JPG
TRACK_B_EXTERNAL,Chilli,cerocospora,healthy,9,0.5645451479487948,0.7654622793197632,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\cerocospora\ulfa_Spot_Leaf_-___100_.jpg
TRACK_B_EXTERNAL,Chilli,murda complex,healthy,9,0.4584650331073337,0.6104369163513184,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\murda complex\ulfa_Leaf_Curl__1000_.jpg
TRACK_C_REALWORLD,Chilli,healthy,cerocospora,9,0.5716651810540093,0.7559167742729187,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\healthy\pd_real_IMG_1629.JPG_1507122477.jpg
TRACK_C_REALWORLD,Tomato,Tomato___Leaf_Mold,Tomato___Late_blight,9,0.8430011802249484,0.9987934827804565,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Leaf_Mold\pd_real_49_20Leafmold_20Bottom.jpg
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Chilli,Smut,9,0.6917575829558902,0.9233575463294983,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4053.JPG
TRACK_D_CROSS_CROP,Chilli,Cross-Crop: Sugarcane,cerocospora,8,0.6289616823196411,0.952024519443512,D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease553.jpg
TRACK_A_INTERNAL,Grape,Leaf Blight,Esca (Black Measles),8,0.6844783872365952,0.9189756512641908,D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight485.jpg
TRACK_D_CROSS_CROP,Sugarcane,Cross-Crop: Grape,Yellow Leaf Disease,8,0.8141249679028988,0.9783498048782349,D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_608.jpg
TRACK_B_EXTERNAL,Sugarcane,Red Rot,Brown Spot,8,0.5745159722864628,0.8615877032279968,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\sugarcane\Red Rot\sabid_S_RR-5-_JPG.rf.4184cc7af557b7e9d8f11f8d4a2d6dc5.jpg
