model_name,dataset_name,crop_name,prediction_outcome,count,mean_confidence,median_confidence,std_confidence,min_confidence,max_confidence,pct_conf_ge_0_90,pct_conf_ge_0_95,pct_conf_ge_0_99,pct_conf_lt_0_70
Model A (Baseline),Phase 18 Benchmark,Chilli,Incorrect,135,0.854364260258498,0.9431758522987366,0.1680295506122509,0.40585464239120483,0.9999972581863403,57.77777777777777,47.40740740740741,28.14814814814815,25.185185185185183
Model A (Baseline),Phase 18 Benchmark,Sugarcane,All,100,0.9997289788722992,0.9999992251396179,0.002100889819840696,0.9789515137672424,1.0,100.0,100.0,99.0,0.0
Model A (Baseline),Phase 18 Benchmark,Sugarcane,Correct,100,0.9997289788722992,0.9999992251396179,0.002100889819840696,0.9789515137672424,1.0,100.0,100.0,99.0,0.0
Model B (Augmented),Internal Test,ALL,All,4741,0.9996406152967008,1.0,0.0090466960562585,0.6159411072731018,1.0,99.91562961400548,99.8523518245096,99.59924066652604,0.04218519299725796
Model B (Augmented),Internal Test,ALL,Correct,4735,0.9997585373921782,1.0,0.007139445836722536,0.6159411072731018,1.0,99.95776135163675,99.89440337909187,99.66209081309398,0.021119324181626188
Model B (Augmented),Internal Test,ALL,Incorrect,6,0.9065804282824198,0.9843699038028716,0.1255908138128946,0.6760845184326172,0.9990733861923218,66.66666666666666,66.66666666666666,50.0,16.666666666666664
Model B (Augmented),Internal Test,Tomato,All,2180,0.9999830798818431,1.0,0.0004395754161557393,0.9809643626213074,1.0,100.0,100.0,99.95412844036697,0.0
Model B (Augmented),Internal Test,Tomato,Correct,2179,0.9999843847319422,1.0,0.0004354348189491559,0.9809643626213074,1.0,100.0,100.0,99.95410738871043,0.0
Model B (Augmented),Internal Test,Tomato,Incorrect,1,0.997139811515808,0.997139811515808,0.0,0.997139811515808,0.997139811515808,100.0,100.0,100.0,0.0
Model B (Augmented),Internal Test,Grape,All,931,0.999028391151756,1.0,0.014375077954083793,0.6760845184326172,1.0,99.78517722878625,99.5703544575725,98.92588614393125,0.10741138560687433
Model B (Augmented),Internal Test,Grape,Correct,928,0.9994058989887608,1.0,0.009693981053468208,0.7319603562355042,1.0,99.89224137931035,99.67672413793103,99.13793103448276,0.0
Model B (Augmented),Internal Test,Grape,Incorrect,3,0.8822526335716248,0.9715999960899352,0.14621369193958952,0.6760845184326172,0.9990733861923218,66.66666666666666,66.66666666666666,33.33333333333333,33.33333333333333
Model B (Augmented),Internal Test,Chilli,All,290,0.997380156969202,1.0,0.025794192917064848,0.6159411072731018,1.0,99.3103448275862,98.9655172413793,97.24137931034483,0.3448275862068966
